timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2008-09-08,71.2000,72.3800,70.8000,72.2200,50.2903,15226500,0.0000,1.0000
2008-09-05,70.3900,71.0700,70.3100,70.6700,49.2109,10746400,0.0000,1.0000
2008-09-04,71.4900,71.4900,70.4000,70.4500,49.0577,13676200,0.0000,1.0000
2008-09-03,71.6700,71.9000,71.3100,71.5100,49.7959,9844000,0.0000,1.0000
2008-09-02,71.0900,72.1000,70.7700,71.7300,49.9491,15122400,0.0000,1.0000
2008-08-29,71.1800,71.4000,70.4200,70.4300,49.0438,10368300,0.0000,1.0000
2008-08-28,71.4800,71.6900,71.1700,71.4100,49.7262,8148200,0.0000,1.0000
2008-08-27,70.7200,71.3900,70.3100,71.2100,49.5870,8399300,0.0000,1.0000
2008-08-26,70.7200,71.0200,70.2500,70.7100,49.2388,6439600,0.0000,1.0000
2008-08-25,71.2500,71.3500,70.5500,70.8000,49.3015,8205000,0.0000,1.0000
2008-08-22,71.0500,71.6800,70.8200,71.4200,49.7332,7717700,0.4600,1.0000
2008-08-21,70.6800,71.5400,70.5100,71.2800,49.3181,7840100,0.0000,1.0000
2008-08-20,71.1800,71.5500,70.5900,71.0800,49.1797,10278400,0.0000,1.0000
2008-08-19,70.6500,71.3800,70.6500,71.1500,49.2281,9133700,0.0000,1.0000
2008-08-18,71.6100,71.6100,70.8000,71.0900,49.1866,9846300,0.0000,1.0000
2008-08-15,70.8200,71.4100,70.7700,71.3300,49.3526,10790800,0.0000,1.0000
2008-08-14,71.2000,71.8000,70.6400,71.1900,49.2558,9459500,0.0000,1.0000
2008-08-13,71.6700,71.8400,71.0000,71.2000,49.2627,10600600,0.0000,1.0000
2008-08-12,71.4700,71.8700,71.2900,71.7000,49.6086,8696800,0.0000,1.0000
2008-08-11,71.4300,71.9000,71.0900,71.6600,49.5810,10231600,0.0000,1.0000
2008-08-08,70.7700,71.6800,70.3800,71.5500,49.5049,12071300,0.0000,1.0000
2008-08-07,70.5700,71.1000,70.0100,70.6500,48.8822,14181000,0.0000,1.0000
2008-08-06,70.3500,71.4900,70.0800,71.0700,49.1728,18729400,0.0000,1.0000
2008-08-05,69.3100,70.5000,69.1300,70.4500,48.7438,20179200,0.0000,1.0000
2008-08-04,68.1800,69.4200,67.9700,68.9800,47.7267,13694700,0.0000,1.0000
2008-08-01,68.5000,68.8000,67.9300,68.1000,47.1178,9052300,0.0000,1.0000
2008-07-31,67.8000,69.0500,67.7900,68.4700,47.3738,13798400,0.0000,1.0000
2008-07-30,68.7000,68.7000,67.7100,68.0800,47.1040,13523100,0.0000,1.0000
2008-07-29,68.5500,69.0000,68.3000,68.4800,47.3808,13012200,0.0000,1.0000
2008-07-28,68.9600,68.9900,68.4200,68.4800,47.3808,9814300,0.0000,1.0000
2008-07-25,68.8800,69.2100,68.5600,69.0300,47.7613,10504500,0.0000,1.0000
2008-07-24,68.2600,69.2500,67.7200,68.6600,47.5053,16543100,0.0000,1.0000
2008-07-23,68.2100,68.3500,67.6200,68.2700,47.2355,10256800,0.0000,1.0000
2008-07-22,67.0200,68.2500,67.0200,67.9900,47.0417,15551300,0.0000,1.0000
2008-07-21,67.9800,67.9800,67.0000,67.1100,46.4329,11279400,0.0000,1.0000
2008-07-18,67.7500,68.2200,67.5500,67.8200,46.9241,12903500,0.0000,1.0000
2008-07-17,68.4400,68.4500,67.0000,67.8300,46.9310,14217400,0.0000,1.0000
2008-07-16,67.7700,68.8100,67.5000,68.1900,47.1801,18883600,0.0000,1.0000
2008-07-15,67.1000,67.9800,66.7900,67.7000,46.8411,24203400,0.0000,1.0000
2008-07-14,66.3100,66.9400,66.0900,66.4100,45.9485,11114700,0.0000,1.0000
2008-07-11,66.3100,66.7300,66.0000,66.2600,45.8448,16631500,0.0000,1.0000
2008-07-10,66.0600,67.2000,66.0600,66.9400,46.3152,17399900,0.0000,1.0000
2008-07-09,66.1500,67.0000,66.0200,66.1800,45.7894,13940700,0.0000,1.0000
2008-07-08,65.1500,66.2800,65.1500,66.2100,45.8102,15476900,0.0000,1.0000
2008-07-07,65.1000,65.9400,64.8700,65.2500,45.1459,14506700,0.0000,1.0000
2008-07-03,64.3500,65.3600,64.2500,65.1200,45.0560,7714900,0.0000,1.0000
2008-07-02,64.9400,65.1100,64.5000,64.6400,44.7239,10708000,0.0000,1.0000
2008-07-01,63.7500,64.9800,63.7400,64.6900,44.7585,16637300,0.0000,1.0000
2008-06-30,63.5400,64.6100,63.1000,64.3400,44.5163,12516900,0.0000,1.0000
2008-06-27,64.2000,64.7100,63.4000,63.5700,43.9836,19081600,0.0000,1.0000
2008-06-26,64.6800,65.3500,64.2600,64.2600,44.4610,12412700,0.0000,1.0000
2008-06-25,64.8300,65.6800,64.7200,65.2800,45.1667,10391100,0.0000,1.0000
2008-06-24,64.1000,64.8400,64.1000,64.7200,44.7792,10692800,0.0000,1.0000
2008-06-23,64.2000,64.4600,63.9500,64.2900,44.4817,8689900,0.0000,1.0000
2008-06-20,64.0800,64.6200,63.8800,64.0600,44.3226,16435000,0.0000,1.0000
2008-06-19,64.3100,64.9800,64.1400,64.6200,44.7101,9089600,0.0000,1.0000
2008-06-18,65.2800,65.9700,64.2000,64.4400,44.5855,12845600,0.0000,1.0000
2008-06-17,66.0400,66.2500,65.5000,65.5900,45.3812,7304000,0.0000,1.0000
2008-06-16,65.9600,66.1600,65.5000,65.8400,45.5542,7984700,0.0000,1.0000
2008-06-13,65.7800,66.3700,65.7400,66.2700,45.8517,8938300,0.0000,1.0000
2008-06-12,65.3900,65.8300,65.1600,65.6900,45.4504,9743400,0.0000,1.0000
2008-06-11,65.5100,65.8500,65.1100,65.2000,45.1114,10392400,0.0000,1.0000
2008-06-10,65.2100,65.9200,65.2100,65.6200,45.4019,10170100,0.0000,1.0000
2008-06-09,65.8800,66.2000,65.3100,65.6300,45.4089,8695900,0.0000,1.0000
2008-06-06,66.5800,66.7600,65.6800,65.7600,45.4988,14267200,0.0000,1.0000
2008-06-05,66.6600,67.1000,66.5000,66.9600,46.3291,8679800,0.0000,1.0000
2008-06-04,66.7000,66.9400,66.2700,66.5500,46.0454,8962800,0.0000,1.0000
2008-06-03,66.6100,67.0400,66.4400,66.7600,46.1907,11363000,0.0000,1.0000
2008-06-02,66.5500,67.0000,66.1500,66.5100,46.0177,9630900,0.0000,1.0000
2008-05-30,66.4900,67.0300,66.3600,66.7400,46.1769,10995000,0.0000,1.0000
2008-05-29,64.7300,66.6500,64.5400,66.4200,45.9555,13264000,0.0000,1.0000
2008-05-28,65.1900,65.3100,64.6400,64.8800,44.8899,14779300,0.0000,1.0000
2008-05-27,64.8200,65.3300,64.8100,65.1500,45.0768,8358200,0.0000,1.0000
2008-05-23,65.3300,65.4900,64.8600,64.9200,44.9176,9073500,0.0000,1.0000
2008-05-22,65.6900,65.7500,65.2100,65.4100,45.2566,9882700,0.4600,1.0000
2008-05-21,66.3900,66.7000,65.5800,65.7300,45.1605,11216800,0.0000,1.0000
2008-05-20,66.4400,66.9400,66.0400,66.1500,45.4490,12612400,0.0000,1.0000
2008-05-19,66.6000,66.7900,66.2600,66.6300,45.7788,8748300,0.0000,1.0000
2008-05-16,66.9100,66.9100,66.3000,66.6800,45.8132,9764900,0.0000,1.0000
2008-05-15,66.8500,66.9900,66.3400,66.6800,45.8132,8407900,0.0000,1.0000
2008-05-14,66.5800,67.1100,66.4100,66.8100,45.9025,9022000,0.0000,1.0000
